word	tag1	tag2	tag3	old2	pattern	tf	notes
gnic	o			o	gni([ćc]|[łl]\w*)\b		# 96
gnid	z			z	gnid		# 180
gnida	z			z	gnid\w*		# 174
gniew	a			a	gniew		# 627
gniot				.	\bgnio[tc](?![lł])		# 366
gniot				.	gniot\w*		# 452
gnoj	o			o	gn[oó]j\w+		# 488
gorszy				.	gorsz\w+		# 9542
gorzki				.	gorzk		# 288
gowno	o		w2	o	g[oó]wn\w+		# 3761
grabic	a			a	(za|roz)grab		# TODO 44 grabic?
granda				.	\bgrand(a|y)\b		# 14
grob	s			s	gr[óo]b		# 871
groteska				.	grotesk\w+		# 96
grozic	a			a	gr[óo](zi|[źżz])		# 
gruby				.	grub\w+		# 1435
gruchot				.	gruchot		# 8
gulag	h			h	gu[łl]ag\w*		# 49
gwalt	a			a	gwa[łl]t(?!own)		# 253
halas				.	\bha[łl]a[sś]		# 99
hanba				.	ha[ńn]b\w*		# 624
haniebny				.	hanieb		# 264
hazard				.	hazard		# 108
hejt				.	hejt		# 2844
herezja				.	here[zt]		# 50
hipokryta				i	hipokry\w+		# 668
hipster				i	hipster		# 241
histeria				.	hister		# 190
hitler	h			h	hitler\w*		# 390
hochsztapler				i	hochsztapl\w+		# 2211
holocaust	h			h	holo[ck]a		# 989
holota				.	ho[łl]o[tc]		# 1521
horda				.	\bhord		# 35
horror				.	horror		# 247
hucpa				.	hucp		# 437
idiota				i	\bidio\w+		# 3147
ignorant				i	ignoran[tc]\w*		# 293
imbecyl				i	imbecy		# 44
impotencja	x			x	impoten		# 39
incydent				.	incydent		# 56
indoktrynacja	p			p	indoktryn		# 32
infantylny				.	infantyl		# 24
intryga				.	intryg(?!uj|ow)		# 68
inwektywa				.	inwektyw		# 40
ironia				.	ironi		# 428
irytuje				.	iryt\w+		# 1733
jadra	x			x	j[ąa]d(er|ra)		# 39
jadrowy				.	j[ąa]drow		# 94
jaja				.	\bjaj		# 3302
japa				.	\bjap[aąeęyi](\b|[^n]|[^n]\w+)		# TODO japonia japierdole
jatka	a			a	\bjatk[ai]		# 3
jebac	a		w3	a	jeba\w+		# 12359 -> jeb,zjeb,jebi itp
jelen				i	jele[ńn]\w*		# FP
jelop				i	je[łl]op\w*		# 86
jeniec				.	\bje([ńn]c|nie)\w		# 61
judasz				i	judasz		# 93
judzic				.	judz[ia][ćc]		# 14
kablowac				.	(?<!o)kabl(uj|owa[ćcłl])		# 13
kaftan				.	kaftan(?!ik)		# 48
kaganiec	a			a?	kaga(ni|[ńn]c)		# 121
kajdanki	a			a?	kajdan		# 379
kal	o			o	\bka([ł]|le)\w*		# TODO kałuża
kanalia	o			o	kanali\w*		# 288
kanibal	a			a	kanibal		# 21
kantowac				.	kan(ciar|tow|tuj)		# 20 TODO krytykant
kapitulacja	p			p	kapitul([^yea]\b|\w\w)		# 52 kapituła
kapus				i	kapu[śs](\b|[iuó]\w*)		# 35
karalny				.	karaln		# 205
karaluch	z			z	karaluch		# 28
karierowicz	p			p	karierowicz\w*		# 26
kasta	p			p	kast(?!et|r)		# 799
kastrowac	a			a	kastr		# 42
katastrofa	s			s?	katastrof		# 1031
katol			d?	i	katol(\b|i\b|[ea]\w*)		# 152
katorga				.	\bkator[gżz]		# 24 lokatorzy
katowac	a			a	\b(|s|za)katow(?!ic)		# 360
katusze	a			a	katusz		# 42
kibol				i	kibo\w*		# 762
kicz				.	\bkicz		# 68
kiepski				.	kiepsk		# 373
kila	o			o	\bki[łl](a|e|ę|y|om)\b		# 83 FP
klaki				.	\bk[łl]ak(?!ier)		# 54
klakier				i	klakier		# 21
klamca				i	(?<!re)k[łl]am\w*		# 4625 klamke klamka
klamot				.	klamot		# 0
klapa				.	klap[aynlłi]		# 142
kleska				.	\bkl[ęe]sk		# 245
kleszcz	z			z	kleszcz		# 688
klnac				.	\bkln		# 53
kloaka	o			o	kloa[ck]\w*		# 10
klocic	a			a	k[łl][óo][tc](\b|[^k])		# 1296
klozet	o			o	klozet\w*		# 6
kmiot				i	\bkmi[eo]		# 100
knebel				.	kneb(el|lo|li)		# 26
knur	z			z	knur\w*		# 32
kochanek	x			x	kochan([e]?k|ic)		# 155
kolaborant	h			h	kolabor\w+		# 398
kolchoz	h			h	ko[łl][c]?hoz\z*		# 73
koles				i	\bkole[śs]		# 1591
komornik				.	komornik		# 165
komplikacje				.	komplik		# 293
kompost	o			o	kompost		# 7
kompromitacja				.	kompromit		# 1206
komuch	h			h	komuch\w+		# 397
komunizm	h			h	komuni[sz]		# 1816
koncentracyjny	h			h	koncentracy		# 153
kondolencje				.	kondolenc		# 22 FP
konflikt	a			a?	konflikt		# 634
konszachty	p			p	konszach		# 3
konus				i	konus\w*		# 946
kopnac	a			a	kopn\w+		# 481 kopac
korupcja	p			p	koru(mpo|pcj)		# 299
koryto				.	kory[tc](a\b|o|i)		# 364
koszmar				.	koszmar		# 549
kpic				.	\bkpi		# 302
kradl	a			a	krad[łlzn]\w*		# 3313
kretacz				i	kr[ęe]tac\w+		# 103
kretyn			d?	i	\bkrety\w+		# 817
krew	s			s	kr(ew\b|wi|waw)		# 3151
kryminal				.	krymina[łl]		# 3568
krytyczny				.	krytycz		# 269
krytyk				.	krytyk		# 2153
kryzys				.	kryzys		# 580
krzyk				.	krzy(k|cz)		# 4328
krzywda				.	\w*krzywd\w+		# 1297
kuglarz				i	kuglar\w+		# 47
kukla				.	kuk[łl]		# 53
kulawy				i	\bkul(aw|ej)\w+		# 86
kundel	z			z	kund[e]?l\w*		# 253
kupa	o			o	\bkup(a|y|ą|om|ami|o|ach)\b		# 319 kupie(kupowac)
kuper	x			x?	\bkup[e]?r\w*		# 43
kurator				.	\bkurato		# 29
kurde				.	kurd[eę]		# 2093
kurupcja	p			p	korupc\w+		# 203
kurwa	x		w3	X	(ku|q)r(w\w+|ew)		# 43737
kustykac				.	(?<!a)ku[śs]ty		# 19
kutas	x		w3	x	kuta\w+		# 749
kwiczec				.	kwi(k|cz)		# 195
kłamca				i	kłam\w+		# 3499
lachociag	x			x	la(ch|sk)oci[ąa]g		# 12
lachy				.	\b[łl]ach		# 
lajdak				i	[lł]ajda\w+		# 45
lajza				i	[lł]ajz		# 116
lament				.	\blament		# 224
lapowka	p			p	\b[łl]ap[óo]w\w*		# 241
larwa	z			z	larw		# 28
lekkomyslny				.	lekkomy		# 5
leming	z			z	lem[m]?in\w+		# 706
len				.	\ble(ń|ni)\w*		# 1912 lenin
lenin	h			h	lenin\w*		# 237
lesbijka	x			x	\ble[sz]bi		# 422-lesba
lesba	x		d3	x	\ble[sz]b(\b|[^i])		# 
leszcz	z			z	(?<!k)leszcz		# 276 TODO leszczyński
lewak	p			h	lewa[ck]\w*		# 2851
lewatywa	o			o	lewatyw		# 32
lgac				.	\b[ł](ga|[żz]e)\w*		# 109
libacja				.	libac[jk]\w+		# 38
lobby	p			p	lobb		# 594
loch				.	\bloch(\b|u|[óo]w|em|ami)		# TODO lochy (swinie)
lubiezny	x			x	lubie[żz]n\w+		# 6
ludobojstwo	s			s	ludob[óo]j		# 512
lupic	a			a	\b(z|roz|)[łl]upi[cćł]		# 14
lustrowac	p			h	\blustr(ow|ac)		# 11
lwp	h			h	\blwp		# 52
lysy				i	\b[łl]ys\w+		# 359 wylysiec
macki	o			o	mac(ka|ki|ek|kom|kami)\b		# 73
maczeta	a			a	maczet		# 18
mafia				.	\bmafi		# 1498
makabra	o			o	makabr		# 28
malaria	o			o	malari		# 2
malkontent				i	malkon		# 36
malpa	z			z	ma[łl]p		# 612
malwersacje				.	malwers		# 32
maniak				i	maniak		# 107
manipulacja	a			a?	manipul\w+		# 1094
manowce				.	manowce		# 5
marks	h			h	marks\w*		# 934
marnowac				.	marnow		# 599
marnotrawny				.	marnotraw		# 80
martwy	s			s	martw(?!i[ećcłl])\w		# 1222
masakra	a			a	masakr\w*		# 1035
masochista	a			a	masochi[sz]		# 72 sado maso
maszkara	o			o	maszkar		# 4
matol				i	mato[łl]		# 264
matol				i	mato[łl]\w*		# 263
mdlosci	o			o	md[łl]o[śs]		# 39
meczyc				.	m[ęe]cz(ony|[ąa]c)		# TODO 870 meczach męczy-meczy
menda				i	\bmenda\w*		# TODO
menel	o			o	menel		# 99
miernota				.	miern\w*		# 
milicja	h			h	\bmilic		# 97
mizerny				.	mizern		# 3
mocz	o			o	mocz(|u|em)\b		# 79
mogila	s			s	mogi[łl]		# 29
monotonia				.	monoton(?!icz)		# 40
monstrualny				.	\bmonstru		# 18
morda				.	mord\w*		# TODO 5372 morda i morderca
morderca	s			s	\bmorder		# 448
morderstwo	s			s	mord(er|ow)		# 2256
mordowac	s			s	\b(za|)mordow		# 1630
motloch				.	mot[łl]och\w*		# 100
mroczny				.	\bmro(cz|k)		# 379
murzynski			d3	i	murzy[nń]\w*		# 323
nachalny				i	nachaln\w*		# 32
nadmiar				.	nadmiar		# 73
nagana				.	nagan(?!ia)		# 56
naiwny				i	naiwn\w+		# 534
napad	a			a	napad		# 301
napasc	a			a	napa(st|[śs][ćc])		# 1010
narazic				.	nara(zi\b|zi[ćcłl]|[żz][oa])		# 173
narkotyki				.	narko[tm]		# 337
nauczka	a			a	nauczk		# 103
nawiedzony				.	nawiedzo		# 39
nazizm	h			h	nazi\w*		# 1001
nedza				.	n[ęe]dz		# 194
negatywne				.	ne(gatywn|gacja|gow)		# 395
nekrofil	s			s	nekrofil		# 12
nekrolog	s			s	nekrolog		# 11
nicosc				.	nico[śs][ćc]		# 19
nieaktywny				.	nieaktyw		# 70
niebezpieczny	a			a	niebezp		# 703
niebyt				.	niebyt\w*		# 33
niechlubny				.	niechlub		# 45
nieciekawy				.	nieciekaw		# 1044
niecny				.	niecn		# 9
nieczuly				.	nieczu[lł]		# 105
nieczysty				.	nieczy[śs][tc]		# 134
niedobrze				.	niedobr		# 628
niedoczekanie				.	niedoczek		# 58
niedojda				i	niedojd		# 45
niedopatrzenie				.	niedopat		# 13
niedopowiedzenie				.	niedopow		# 21
niedopuszczalny				.	niedopu		# 134
niedorajda				i	niedorajd		# 4
niedorozwiniety			d?	i	niedoroz		# 27
niedorzeczny				.	niedorzeczn\w+		# 45
niedoskonaly				.	niedoskon		# 45
niedoszly				.	niedosz		# 152
niedowartosciowany				i	niedowart		# 274
niedozwolony				.	niedozwol		# 22
niedozywiony				.	niedożyw		# 43
niedrozny				.	niedro(żz)		# 0
niedzialajacy				.	\bniedzia		# 22
niedzorzeczny				.	niedorze		# 45
niefajny				.	niefajn		# 66
niegodziwy				.	niegodziw		# 71
niekomfortowy				.	niekomfort		# 55
niekompetentny				i	niekompet		# 126
niekontrolowany				.	niekontrol		# 36
niekorzystny				.	niekorzy		# 297
nielaska				.	nie[łl]ask		# 10
nielegalny				.	nielegal		# 541
nielogiczny				.	nielogi		# 30
niemily				.	niemi[łl]		# 547
niemowa				.	\bniemow[^l]\w*		# 8
niemozliwy				.	niemo[żz]liw		# 1090
nienawisc	a			a	nienawi[dśs]		# 6168
nienormalny				.	nienormal		# 147
nieobliczalny				.	nieoblicz		# 14
nieodpowiedni				.	nieodpowiedn		# 86
nieodpowiedzialny				.	nieodpowiedz		# 134
nieodwracalny				.	nieodwrac		# 67
nieoptymalny				.	(nie|sub)optym		# 1
niepewny				.	niepewn		# 124
nieplanowany				.	nieplan		# 5
niepokoj				.	niepok[óo][ji]		# 447
niepoprawny				.	niepopraw		# 91
nieporadny				.	nieporad		# 49
nieporozumienie				.	nieporoz		# 380
niepotrzebny				.	niepotrzeb		# 585
niepotwierdzony				.	niepotwier		# 65
niepowazny				.	niepowa		# 81
niepowodzenie				.	niepowodz		# 49
nieprawda				.	nieprawd		# 747
nieprawidlowy				.	nieprawi		# 478
nieprzewidywalny				.	nieprzewid		# 70
nieprzygotowany				.	nieprzyg		# 73
nieprzyjazny				.	nieprzyja		# 7
nieprzyjemny				.	nieprzyjem		# 95
nieprzyzwoity				.	nieprzyzw		# 43
nierealny				.	nierealn		# 245
nierob				i	nier[óo]b		# 84
nierozpoznany				.	nierozpoz		# 6
nieslusznie				.	nies[łl]usz		# 92
niesmak	o			o	niesma[ck]		# 117
niesmialy				.	nie[śs]mia[łl]		# 181
niesmieszny				.	nie[śs]miesz		# 143
niesmieszny				.	nie[śs]miesz		# 143
niespawiedliwy				.	\bniespraw		# 296
niespojny				.	niesp[óo]j		# 6
niespokojny				.	niespoko		# 25
niesprawdzony				.	niesprawdz		# 11
niesprawny				.	niesprawn		# 30
niestabilny				.	niestabil		# 32
niestrawnosc	o			o	niestrawn		# 142
nieszczegolny				.	nieszczeg		# 6
nieszczery				.	nieszczer		# 53
nieszczescie				.	nieszcz[ęe][śs]		# 606
nietakt				.	nietakt		# 8
nietolerancja				.	nietoler		# 36
nietrzezwy				.	nietrze[źz]		# 17
nietykalny				.	nietykal		# 71
nieuczciwy				.	nieuczc		# 48
nieudacznik				i	\bnieudaczni\w+		# 203
nieudacznik				i	nieudacz		# 212
nieudacznik				i	nieudan		# 158
nieudolny				.	nieudol		# 119
nieufny				.	nieufn		# 183
nieuk				i	nie(do|)u[kc]		# 264
nieuprawniony				.	nieupraw		# 12
nieurodzaj				.	nieurodz		# 37
nieuzasadniony				.	nieuzasa		# 107
niewazny				.	niewa[żz]n		# 599
niewdzieczny				.	niewdzi		# 57
niewesoly				.	nieweso[łl]		# 7
niewiele				.	niewiele		# 815
niewierny				.	niewiern		# 46
niewolnik				.	niewolni		# 166
niewybredny				.	niewybred		# 2
niewygodny				.	niewygod		# 232
niewyjasniony				.	niewyja		# 104
niewykonalny				.	niewykonal		# 35
niewypal				.	niewypa[lł]		# 66
niewystarczajacy				.	niewystar		# 40
niezadowolony				.	niezadowol		# 150
niezdolny				.	niezdoln		# 319
niezdrowy	o			o	niezdrow		# 105
niezgodny				.	niezgodn		# 193
nieznajomy				.	nieznajom		# 80
niezrownowazony				i	niezr[óo]wno		# 30
niezrozumialy				.	niezrozu		# 200
niezyciowy				.	nie[żz]yci		# 2
niezywy	s			s	nie[żz]yw		# 22
nijaki				.	nijak\w		# 92
nikczemny				i	nikcz		# 60
niski				.	\bnisk\w+		# 802 niskoemisyjny
niszczyc	a			a	niszcz\w*		# 3281
niewykorzystany				.	niewykorz		# 87
niewygodny				.	niewygod		# 232
nkwd	h			h	nkwd		# 494
nosz				.	\bnosz\b		# 153
nowobogactwo				?	nowobogac		# 9
nowomoda				.	nowomod		# 10
nowotwor	o			o	nowotw		# 204
nuklearny	p			p	nuklear		# 345
obalic				.	\bobali		# 73
obawa				.	\bobaw		# 1305
obelga				.	obel[gżz]\w*		# 99
oblakany				i	ob[łl][ąa]kan		# 40
oblawa	a			a	ob[łl]aw		# 41
obled				.	ob[łl][ęd]d		# 148
oblesny	o			o	oble[sś]\w*		# 87 oblech
obrazac				.	obraż[aoe]		# 2886
obskurny	o			o	obskur		# 5
obwisly				.	obwi[śs]		# 5
ochyda	o			o	ochyd\w+		# 129
oczerniac				.	oczern		# 95
odbyt	o			o	odby(t|ci)\w*		# 139 odbycia
odpad*	o			o	odpad		# 980
odraza	o			o	\bodra[zż]		# 180
odszkodowanie				.	odszkod		# 1016
odwet	a			a	odwet		# 108
odwolac				.	odwo[łl][aye]		# 1715
odwyk				.	odwyk		# 42
ofiara	a			a?	ofiar		# 3267
ograniczac				.	ogranicz		# 2550
ohyda	o			o	o[c]?hyd\w+		# 163
okropny	o			o	okropn		# 2920
okrutny	a			a	okru[ct]		# 556
okupowac				.	\bokup[oa]		# 884
opium				.	opium		# 51
oponen	p			p	op+on+ent		# 15
opozniony				.	(o|za)p[óo][źz]nion\w		# 75
oprawca	a			a	oprawc		# 158
oprych				i	opry(ch|szk)\w*		# 4
ordynardny				.	ordynar\w*		# 154
osiol	z			z	osio[łl]|osł[aeo]\w*		# TODO 
oslizgly	o			o	o[śs]liz[g]?[łl]y		# 27
ostry				.	ostr[yoe]\b		# 2122
ostrzezenie				.	\bostrze[gżz]		# 633
oszolom				i	oszo[łl]om\w*		# 146
oszust				i	\boszu(st|k)\w*		# 2417
owdowiec	s			s	owdowi		# 0
pacjent				.	pacjen		# 429
pacyfikowac	a			a	pacyfik[aou]\w		# 263
padalec	z			z	padal[e]?c		# 209 padalecki
padlina	o			o	padlin		# 36
pajac				i	pajac\w*		# 919
palant				i	palant		# 22
palic				.	pal(i[ćcłl]|on|[ąa]c)		# 3437
panika				.	pani(k|czn)		# 1183
papuga	z			z	papug		# 63
paranoja				.	paranoi		# 45
parobek				?	par[óo]b		# 26
parowka				.	par[óo]w		# 230
parszywy	o			o	parszyw		# 86
paser				i	paser 		# 14
pasiak	h			h	pasiak		# 28
pasożyt	z			?	paso[żz]y		# 96
paszkwil				.	paszkw		# 45
pasztet				i	paszte[tc]		# 81 kulinarne:pasztet
patalach				i	pata[łl]a		# 24
patologia				?	patol\w*		# 1573
pawian	z			z	pawian		# 3
pazerny				i	pazern\w+		# 155
pedal	x		d3	x	peda[lł]		# 858
pederasta	x			x	peder\w+		# 85
pedofil	x			x	pedofil		# 334
penis	x			x	penis\w*		# 107
perfidny				i	perfid		# 153
persona				i	person(a|y|ie|om)\b		# 107
perwers	x			x	perwer\w*		# 163
picz	x			x	picz		# 197
pieklo				.	(\b|[^u])piek(ie)?[łl]		# 682
pieprzyc				?	piepr\w+		# 3183
pionek				i	\bpion[e]?k		# 26
pipidowo				.	pipid		# 7
pirat				i	\b(anty|)pira[ct]		# 198
pisdu				.	pisd[auoy]\w*		# 224
pislam	p		d?	h	pislam\w*		# 56
pisuar	o			o	pisuar\w*		# 42
pizda	x		w3	x	pi[zź]d\w+		# 1446
placz				.	p[łl]a(cz|ka[^t])		# 10818
plaga	o			o	plag(?!ia)		# 117
plagiat				.	plagia		# 94
plebs	p		d?	h	pleb[s]\w*		# 62-plebe
plebejusz	p			h	pleb[e]\w*		# 62-plebs
plesn	o			o	ple[śs][nń]		# 36 pleśnierowicz
pluc	o			o	(\b|o|wy)plu[ćctwłlj]		# 887
plugawy	o			o	plugaw		# 27
pluskwa	z			z	pluskw\w*		# 14 FP
pochwa	x			x	pochw(a|y|om|[eę])\b		# 25
podczlowiek			d?	h	pod(cz[łl]ow|lud)\w+		# 56
podstep	a			a	podst[ęe]p		# 385
podzegacz				i	pod[żz]eg		# 19
podły				i	pod[łl][ay]\w+		# 174
pogarda				.	\b(pogard|wzgard|gardz)		# 1460
pogrom	a			?	pogrom		# 342
pogrzeb	s			s	pogrzeb		# 1369
pogrzeb	s			s	pogrzeb		# 1369 FP
pokonac	a			a	pokon[ay]		# 628
pokurcz				i	pokurcz		# 42
pokuta				.	pokut		# 64
polglowek				i	p[óo][łl]g[łl][óo]		# 12
poligamia	x			x	poligam		# 32
pomagier				i	pomagier		# 5
pomowienie				.	pom[óo]wi		# 97
pomylic				.	pomyl[ioe]		# 525
pomylka				.	pomy[łl]k		# 214
ponury				i	ponur		# 170
popelnic				.	\bpope[łl]		# 1692
